i,Date,Price,Open,High,Low,Vol.,Change %,u_i^2,sigma_i^2,#NAME?
1,12/08/2023,2.31,2.31,2.32,2.3,578.43M,0.30%,0.000009,0.000009,4.045757491
2,12/07/2023,2.31,2.31,2.32,2.29,845.84M,-0.43%,0.00001849,0.00001375,3.516638813
3,12/06/2023,2.32,2.32,2.33,2.31,724.29M,0.00%,0,0.00000916,5.037946515
4,12/05/2023,2.32,2.36,2.36,2.32,966.83M,-2.03%,0.00041209,0.0001099,0.209169935
5,12/04/2023,2.37,2.39,2.39,2.37,602.13M,-0.75%,0.00005625,0.00009917,3.4364065
6,12/01/2023,2.38,2.4,2.4,2.37,1.64B,-0.67%,0.00004489,0.00009012,3.547065191
7,11/30/2023,2.4,2.39,2.41,2.39,549.82M,0.25%,0.00000625,0.00007814,4.027148428
8,11/29/2023,2.39,2.41,2.41,2.38,1.41B,-0.46%,0.00002116,0.00007102,3.85068229
9,11/28/2023,2.41,2.4,2.41,2.39,510.56M,0.00%,0,0.00006313,4.199794787
10,11/27/2023,2.41,2.43,2.43,2.39,647.52M,-2.43%,0.00059049,0.00011586,-1.160435126
11,11/24/2023,2.47,2.47,2.48,2.46,642.95M,-0.52%,0.00002704,0.00010779,3.716568019
12,11/23/2023,2.48,2.47,2.48,2.46,540.80M,0.36%,0.00001296,0.00009989,3.870750514
13,11/22/2023,2.47,2.48,2.49,2.47,600.91M,-0.84%,0.00007056,0.00009763,3.287685769
14,11/21/2023,2.49,2.49,2.51,2.48,800.48M,0.48%,0.00002304,0.0000923,3.785174639
15,11/20/2023,2.48,2.47,2.49,2.46,706.34M,0.24%,0.00000576,0.00008653,3.996258288
16,11/17/2023,2.47,2.47,2.48,2.45,2.81B,0.00%,0,0.00008112,4.090851982
17,11/16/2023,2.48,2.5,2.5,2.48,797.69M,-1.00%,0.0001,0.00008223,2.868907676
18,11/15/2023,2.5,2.5,2.51,2.49,714.95M,0.85%,0.00007225,0.00008168,3.203331747
19,11/14/2023,2.48,2.49,2.5,2.47,550.83M,0.00%,0,0.00007738,4.111368321
20,11/13/2023,2.48,2.49,2.5,2.47,496.01M,-0.24%,0.00000576,0.0000738,4.053897271
