i,Change
1,0.003
2,-0.0043
3,0
4,-0.0203
5,-0.0075
6,-0.0067
7,0.0025
8,-0.0046
9,0
10,-0.0243
11,-0.0052
12,0.0036
13,-0.0084
14,0.0048
15,0.0024
16,0
17,-0.01
18,0.0085
19,0
20,-0.0024
21,-0.0095
22,0
23,-0.0032
24,-0.0043
25,0.008
26,0.008
27,0
28,0.0036
29,0
30,0
31,0.0097
32,0.0037
33,0.0049
34,0.0033
35,-0.0077
36,-0.0057
37,-0.0271
38,-0.0039
39,0.0039
40,-0.009
41,-0.0096
42,0.0093
43,0.0031
44,-0.0062
45,-0.0031
46,-0.0081
47,0.0046
48,-0.0065
49,-0.0095
50,0.0241
51,-0.0096
52,-0.0046
53,0
54,0.0054
55,-0.0046
56,0.0027
57,-0.0031
58,0
59,0.0065
60,-0.0057
61,-0.0099
62,0
63,-0.0064
64,0.0184
65,0.0077
66,-0.0035
67,-0.0027
68,0.0039
69,0.0129
70,0.0039
71,0.0071
72,-0.0125
73,0.0079
74,-0.0128
75,-0.0115
76,0.0023
77,-0.0072
78,0
79,-0.0076
80,-0.0237
81,0
82,0
83,0
84,-0.004
85,0
86,0.0093
87,-0.0092
88,-0.0029
89,0
90,0.0279
91,0
92,0
93,0.0319
94,-0.005
95,0.0039
96,-0.0054
97,0.0035
98,0
99,-0.0096
100,0
101,0.016
102,0
103,0.0067
104,0.0051
105,-0.0043
106,-0.0074
107,-0.0058
108,0
109,0.0149
110,0.0028
111,-0.0059
112,0.0035
113,0.0059
114,-0.011
115,-0.0105
116,-0.0046
117,-0.0122
118,0.0088
119,0.0152
120,0
121,0.0035
122,0
123,0.0031
124,0.0099
125,0
126,-0.0051
127,-0.0047
128,0.0172
129,0.002
130,-0.0161
131,-0.0043
132,-0.0043
133,0
134,-0.0047
135,-0.0153
136,-0.0158
137,0.0095
138,-0.0042
139,0
140,-0.0093
141,-0.0022
142,0.0186
143,-0.0139
144,-0.0022
145,-0.0118
146,-0.0066
147,0.0138
148,-0.003
149,0.0056
150,0.009
151,0.0141
152,0
153,0
154,-0.0135
155,-0.0174
156,-0.0066
157,-0.0087
158,0.0037
159,0.0201
160,0.0041
161,0
162,-0.0056
163,-0.0022
164,0
165,0.0071
166,-0.0045
167,0.0037
168,0
169,0
170,0.0121
171,0
172,0
173,-0.0064
174,-0.0049
175,0.0064
176,0.0034
177,0.0103
178,-0.0064
179,0.0038
180,-0.0094
181,0
182,-0.0067
183,0.0102
184,-0.0134
185,-0.007
186,-0.0077
187,-0.0113
188,-0.0108
189,0
190,0
191,0.0113
192,0.0048
193,0
194,-0.0137
195,0
196,-0.0132
197,0.005
198,0.0283
199,-0.0105
200,-0.0036
201,-0.0093
202,0.004
203,0.0065
204,-0.0043
205,0.0106
206,-0.0025
207,0.0029
208,-0.0158
209,-0.0145
210,-0.0021
211,0.0039
212,-0.0105
213,0
214,0.0067
215,0.0035
216,-0.0067
217,-0.0032
218,0.0171
219,0.0163
220,0.0022
221,0.0022
222,-0.0029
223,0.0092
224,0.0055
225,0.0188
226,0.0034
227,0
228,0.0053
229,-0.0053
230,0.0026
231,0.0115
232,-0.0038
233,-0.0027
234,0.0065
235,0
236,-0.0173
237,-0.0149
238,0.0041
239,-0.0052
240,0.0063
241,0
242,-0.0118
